employee_number|employee_grade|local_expat|assignment_status|employee_depute_branch|region|geography|group_customer|project_iou|project_type|department|employee_parent_iou|mapped_parent_ou_excluding_bps|mapped_sub_iou_parent_ou_excluding_bps|mapped_project_ou|mapped_sub_project_ou|tcs_exp|total_rel_exp|won_swon|delivery_unit|bg|emp_role|mlt_pool_category|status|completion_certification_id|completion_certification_name|completion_date
312497|C3B|Local|Active Assignment|TCS - Chennai|Chennai|INDIA|Group Client - KeyCorp|IS-BFSI-US East-Parent|TURNKEY|CC|IS-BFSI-US East-Parent|IS-BFSI-US East-Parent|BFSI US East - Mid-West|IS-BFSI-US East-Parent|BFSI US East - Mid-West|1+ yrs in TCS|13.87|WON|IS-BFSI-US East-Parent|BFSI|Senior Engineer|Generic|Completed|14174|Microsoft Certified Azure Administrator Associate Certification|14/10/2022
324799|C3A|Local|Active Assignment|TCS - Chennai|Chennai|INDIA|Group Client - CITIGROUP|IS-BFSI-US SE & Latam-Parent|TIME AND MATERIAL|CC|IS-BFSI-US SE & Latam-Parent|IS-BFSI-US SE & Latam-Parent|IS-BFSI-US SE&Latam 1.3-Group3|IS-BFSI-US SE & Latam-Parent|IS-BFSI-US SE&Latam 1.3-Group3|1+ yrs in TCS|13.07|WON|IS-BFSI-US SE & Latam-Parent|BFSI|Project Manager|Generic|Completed|16152|Digital : Design Thinking for Growth and Transformation Consultants Certification|12/09/2022
456251|C3B|Local|Active Assignment|TCS - Bangalore|Bangalore|INDIA|Group Client - Aviva|IS-BFSI-UK 2-Parent|TIME AND MATERIAL|CC|IS-BFSI-UK 2-Parent|IS-BFSI-UK 2-Parent|IS-BFSI-UK 2.1-Group1|IS-BFSI-UK 2-Parent|IS-BFSI-UK 2.1-Group1|1+ yrs in TCS|19.31|WON|IS-BFSI-UK 2-Parent|BFSI|Scrum Master|Generic|FY22 Completion|3854|Professional Scrum Master II Certification|11/06/2020
322178|C3A|Local|Active Assignment|TCS - Bangalore|Bangalore|INDIA|Group Client - Nationwide Building Society|IS-BFSI-UK 1-Parent|JOB|CC|BFSI-CBO-Parent|BFSI-CBO-Parent|BFSI-CBO-Infrastructure Services 1.0|IS-BFSI-UK 1-Parent|IS-BFSI-UK 1.1-Group1|1+ yrs in TCS|18.65|WON|BFSI-CBO-Parent|BFSI|System Administrator|Generic|FY22 Completion|14124|Microsoft Azure Fundamentals (AZ-900) Certification|27/05/2021
241052|C3B|Expat|Active Assignment|TCS - London|United Kingdom|UK|Group Client - Nationwide Building Society|IS-BFSI-UK 1-Parent|TIME AND MATERIAL|CC|IS-BFSI-UK 1-Parent|IS-BFSI-UK 1-Parent|IS-BFSI-UK 1.1-Group1|IS-BFSI-UK 1-Parent|IS-BFSI-UK 1.1-Group1|1+ yrs in TCS|16.77|WON|IS-BFSI-UK 1-Parent|BFSI|Technical Lead|Generic|FY22 Completion|1824|SAFe Agilist (SA) Certification|08/11/2021
211420|C4|Local|Active Assignment|TCS - Bangalore|Bangalore|INDIA|Group Client - London Stock Exchange Group plc|IS-BFSI-UK 1-Parent|TIME AND MATERIAL|CC|IS-BFSI-UK 1-Parent|IS-BFSI-UK 1-Parent|IS-BFSI-UK 1.4-Group4|IS-BFSI-UK 1-Parent|IS-BFSI-UK 1.4-Group4|1+ yrs in TCS|17.44|WON|IS-BFSI-UK 1-Parent|BFSI|Agile Coach|Generic|Completed|3551|Project Management Professional (PMP) Certification|18/01/2016
324132|C3B|Local|Active Assignment|TCS - New Delhi|Delhi|INDIA|Group Client - M&G plc|IS-BFSI-UK 2-Parent|TIME AND MATERIAL|CC|BFSI-Enterprise Application Services - Parent|BFSI-Enterprise Application Services - Parent|BFSI-Enterprise Application Services 1.0|IS-BFSI-UK 2-Parent|IS-BFSI-UK 2.3-Group3|1+ yrs in TCS|18.43|WON|BFSI-Enterprise Application Services - Parent|BFSI|Technical Lead|Generic|FY22 Completion|18567|Oracle Cloud Infrastructure Foundations 2021 Associate Certification|30/12/2021
1456197|C4|Local|Active Assignment|TCS - Chennai|Chennai|INDIA|Group Client - Bank of Montreal|IS-BFSI-Canada-Parent|TURNKEY|CC|BFSI-CBO-Parent|BFSI-CBO-Parent|BFSI-CBO-Infrastructure Services 1.0|IS-BFSI-Canada-Parent|IS-BFSI-Canada 1.2-Group2|1+ yrs in TCS|18.56|WON|BFSI-CBO-Parent|BFSI|Service Delivery Manager|Generic|Completed|18239|TCS - Segue : Transition Management in new Normal|28/09/2021
479859|C3A|Local|Active Assignment|TCS - Pune|Pune|INDIA|Group Client - Bank of Montreal|IS-BFSI-Canada-Parent|TURNKEY|CC|BFSI-CBO-Parent|BFSI-CBO-Parent|BFSI-CBO-Infrastructure Services 1.0|IS-BFSI-Canada-Parent|IS-BFSI-Canada 1.2-Group2|1+ yrs in TCS|12.8|WON|BFSI-CBO-Parent|BFSI|System Administrator|Generic|Completed|14174|Microsoft Certified Azure Administrator Associate Certification|31/05/2022
797522|C2|Local|Active Assignment|TCS - Chennai|Chennai|INDIA|Group Client - CITIGROUP|IS-BFSI-US SE & Latam-Parent|TIME AND MATERIAL|CC|IS-BFSI-US SE & Latam-Parent|IS-BFSI-US SE & Latam-Parent|IS-BFSI-US SE&Latam 1.3-Group3|IS-BFSI-US SE & Latam-Parent|IS-BFSI-US SE&Latam 1.3-Group3|1+ yrs in TCS|11.2|WON|IS-BFSI-US SE & Latam-Parent|BFSI|Technical Lead|Generic|Completed|#N/A|#N/A|#N/A
1519366|C3A|Local|Active Assignment|TCS - Bangalore|Bangalore|INDIA|Group Client - Bank of Montreal|IS-BFSI-Canada-Parent|TIME AND MATERIAL|CC|BFSI-CBO-Parent|BFSI-CBO-Parent|BFSI-CBO-Infrastructure Services 1.0|IS-BFSI-Canada-Parent|IS-BFSI-Canada 1.2-Group2|1+ yrs in TCS|11.61|WON|BFSI-CBO-Parent|BFSI|Technical Lead|Generic|Completed|14174|Microsoft Certified Azure Administrator Associate Certification|14/10/2022
